xaxis	Pop1.mean	Pop1.se	Pop2.mean	Pop2.se	Pop3.mean	Pop3.se
3400	777.0678786624	24.4745275709335	769.805200676382	44.0331949005478	703.702991068716	19.0197022935865
3500	794.5487713856	24.8627572509999	786.88580503017	45.415548262069	717.34050362974	19.4002735361197
3600	809.1762471936	25.3206799255998	800.5932111491	46.2811752993316	731.398902787157	19.8042126388633
3700	823.2365621504	25.8561454734669	815.953424941404	46.9086149024889	744.543529221367	20.1584069916009
3800	838.0014671936	25.9726484064000	830.031030703419	48.2411838166539	757.65175202457	20.2214949456428
3900	852.6323396864	26.7682627193002	846.03793605528	48.6753502950206	770.247625374834	20.8595174734291
4000	866.29719204	27.3919459532002	858.891835371069	49.4561592780433	783.721272055551	20.9862355471073
4100	881.1573411984	27.8327077250332	875.830172010836	50.4281669908958	798.818522748252	21.4831180840721
4200	894.1949744784	28.1638139243333	888.379590570147	51.5371315881648	810.215662119053	21.9347633003524
4300	911.611281	28.5145381738664	902.941522438226	51.9161923305142	823.179643053385	22.1472891828895
4400	923.8601093376	29.1040821867002	916.599387047522	53.0659456759566	837.83203526379	22.4874214898705
4500	938.7621897216	29.2821949263001	929.853060265805	53.2172205419061	850.81336909744	22.8631877023570
4600	949.3679489424	30.0915211010002	944.825001662359	54.6628812126128	861.329477579579	23.2013392053797
4700	965.86528656	30.3703743129333	956.8891587835	54.8242078572982	873.200808963439	23.4691048581482
4800	979.3387582464	30.7081977095999	967.38124106642	56.1272704374023	886.854053100152	23.9427277115026
4900	990.8103422864	30.8742531871999	983.695890182453	57.1402183330095	898.773401	23.9940702546065
5000	1003.9012229376	31.9399263315333	996.736587150082	57.7483701091694	910.37865504212	24.3743206727489
5100	1017.5005445904	31.9649493837334	1009.21547134657	58.9551925912976	924.4856808008	24.6970530900254
5200	1032.97094544	32.912409307	1023.16597606869	59.1266559334675	934.080285263912	25.0451261037422
5300	1046.5407520656	33.2374193625001	1035.33512804753	60.1087866769611	946.425333963433	25.0585193384748
5400	1058.480409	32.9024127024999	1048.72912357114	60.2447629265947	957.446189476578	25.8573716462707
5500	1071.2002306304	33.7025791126332	1063.21026482026	61.2461249740258	970.065652752905	25.9620616255086
5600	1083.12382464	33.9047017832666	1074.63641143711	61.8590343617256	982.25774517004	26.2868901206632
5700	1098.8816868624	34.4730260993666	1086.20061764241	63.1936659290517	994.026321662245	26.4398369797820
5800	1109.8611436944	34.7675403883	1098.36439634594	63.2521927228443	1006.43492449899	26.7197965523153
5900	1124.2615393856	35.6931042562	1114.07900146348	64.8633196096775	1015.72538367395	27.0105801481432
6000	1138.2176951696	35.9382346162333	1124.401209	65.0672458518635	1030.04528540279	27.4754437062614
6100	1145.8023650304	35.8735938739666	1138.88337838891	65.5893239517943	1040.53811112447	27.7028752693124
6200	1158.5610348816	37.0456250263998	1150.43648134517	66.0779795073177	1051.58284449899	27.7906166662543
6300	1172.2678885776	36.2999591045998	1162.81692356873	67.1718430957703	1061.56419502455	28.2347519439997
6400	1185.4272675984	37.0468700566670	1174.13994193864	67.9173209572839	1072.01879424068	28.595743375031
6500	1198.63450896	37.5304568688664	1189.96141921585	68.7092935231782	1083.71740044636	29.1490305753090
6600	1208.0889790464	37.7148291198003	1197.17121908886	68.7232911185148	1094.95860831642	29.1086672304773
6700	1222.952256	38.3970175257997	1209.08565775410	69.9773940657942	1107.34900988453	29.3223807941159
6800	1233.6157150224	38.5959369580331	1223.59455738568	70.2795252119263	1117.63944961605	29.8474561287734
6900	1243.9028137536	38.9894910744670	1232.03954438395	70.9946180196103	1126.61955359453	29.7910111284289
7000	1258.0774259856	39.592671927	1247.04425596360	71.7306754367988	1137.51829813464	30.0883002766689
7100	1268.609321	39.9516279825332	1257.57385353167	72.837253821802	1148.38252971359	30.4937469460228
7200	1281.4677604496	40.3873660429	1271.82161923093	73.0690418324848	1160.11944852873	30.5678392068289
7300	1292.7171518016	40.2370081664332	1284.39309296287	73.5563205472226	1170.10857675241	30.7426851735256
7400	1306.5889099536	40.9718833625337	1293.77545107727	74.7315297644372	1180.98940028362	30.9136515870474
7500	1316.5262262416	41.4636902479000	1306.44837069970	75.2354762353203	1191.92790258177	31.4857021489707
7600	1330.2186143376	41.4823959898665	1317.25615242122	76.4201358982085	1203.70257011060	31.7975685180322
7700	1340.1222584384	42.1262460763334	1326.7377393404	75.7919767028211	1212.08970894975	31.9212916533644
7800	1353.3900474624	42.0151681049664	1342.85797957259	77.0342287462192	1222.59259142639	32.0880105439384
7900	1361.9662238784	42.5536576233669	1351.56118826331	77.593036679645	1233.332201	32.5899769740053
