Pop1.AVG	Pop2.AVG	Pop3.AVG	test.p	test.pBH	test.pbonferroni
Neisseria	0.000361016617183115	0.000199238525777907	0.000228638855318954	0.105066431983456	0.700442879889707	1
Oxalobacter	0.000185962492558078	0.000191306333106085	0.000172792176760017	0.753603123752504	0.955730781918952	1
Coprobacillus	2.95906805211428e-05	0.000211859553077151	9.38665733646803e-05	0.336986691153017	0.931594490591579	1
Slackia	8.3697618388344e-05	0.000105348884452145	0.000104533819287664	0.79225080300263	0.955730781918952	1
Bulleidia	0.000117125357700505	7.85998596872553e-05	7.6433832256286e-05	0.186230149506702	0.84885533966205	1
Adlercreutzia	7.38011739252459e-05	0.000110162010412916	5.93237385417911e-05	0.358198703522102	0.931594490591579	1
Porphyromonas	8.00047208751657e-05	6.79607231591214e-05	6.32176633847335e-05	0.160280691609285	0.819478720964215	1
Campylobacter	1.59525890957325e-05	0.000173423877761931	3.97813926241553e-05	0.73589888715508	0.955730781918952	1
Bifidobacterium	5.79023250504178e-05	7.6510976768488e-05	6.07640048058321e-05	0.222045934567987	0.909324484861174	1
Lactococcus	3.77956017201772e-05	3.00023139668501e-05	8.58376529295336e-05	0.804933271053892	0.955730781918952	1
Pseudobutyrivibrio	3.97745431220135e-05	4.20227842090024e-05	7.50566763086657e-05	0.700666375266878	0.955730781918952	1
Granulicatella	7.01440277244465e-05	6.26680069848168e-05	4.63711259960058e-05	0.245814366646071	0.909324484861174	1
Enterococcus	2.84662502522190e-05	1.50518892295273e-05	6.33132720605299e-05	0.308907435289458	0.931594490591579	1
Holdemania	3.18537632774863e-05	4.42719724801519e-05	3.16931871057206e-05	0.938926763096792	0.994148925270592	1
Succiniclasticum	5.51707624677577e-05	7.90598616006014e-05	1.07004638867422e-06	0.396534629348825	0.931594490591579	1
Actinomyces	2.23146921439602e-05	3.61474930280231e-05	2.40400554033991e-05	0.422388090148069	0.931594490591579	1
Devosia	9.29639466731548e-06	3.91914223604788e-05	2.79467523834794e-05	0.0750369516653438	0.648122555907295	1
Peptococcus	6.35356889676778e-06	6.12366647818061e-05	1.64428358273293e-05	0.552427590361201	0.955730781918952	1
Weissella	8.76719866388422e-06	1.25410120587040e-05	3.51195544864089e-05	0.681991361257626	0.955730781918952	1
Dehalobacterium	2.85709259758556e-05	2.16124700458621e-05	1.81077380505890e-05	0.160391026352445	0.819478720964215	1
Leuconostoc	3.26892989346988e-05	1.54501888337650e-05	1.53741758476702e-05	0.738080409527355	0.955730781918952	1
Selenomonas	3.34466633983275e-05	2.58421673690882e-05	8.9542836940477e-06	0.435972570236545	0.931594490591579	1
Leptotrichia	2.26859393494799e-05	1.45763708874493e-05	1.79417245026955e-05	0.922362586614987	0.994148925270592	1
Actinobacillus	1.63213708656074e-05	2.35227316643791e-05	1.31976739588632e-05	0.87108642085001	0.98150582630987	1
Akkermansia	1.51688010506624e-05	1.94869508685185e-05	1.56421183213816e-05	0.842556095563226	0.963025199959244	1
